COUNTRY,HOST UNIVERSITY,COURSE NUMBER AND TITLE AT OVERSEAS INSTITUTION,COURSE EQUIVALENCY AT US INSTITUTION,FIELD OF STUDY,US INSTITUTION,SEMESTER
Hungary,Technical University of Budapest,Literature in Juxtaposition LIJU.103-NS.BX,ENGL 2999 Elective,Elective,Virginia Tech,Fall 99
Spain,Universidad Pontifica de Comillas,Me 1003 Trasmision de Calor,ME 3304 Heat and Mass Transfer,Mechanical Engineering,Virginia Tech,99-00
Spain,Universidad Pontifica de Comillas,Me 1001 Ingenieria Fluidomecanica,ME 3404 Fluid Mechanics,Mechanical Engineering,Virginia Tech,99-00
Spain,Universidad Pontifica de Comillas,Me 1005 Medidas Mecanicas,ME 4005 Mechanical Engineering Lab,Mechanical Engineering,Virginia Tech,99-00
Spain,Universidad Pontifica de Comillas,Span 1000 Espanol para Extranjeros,Span 1XXX Elective,Spanish,Virginia Tech,99-00
Spain,Universidad Pontifica de Comillas,Stat 1000 Estadistica,Stat 3704 Statistics for Engr Applic,Mechanical Engineering,Virginia Tech,99-00
Spain,Universidad Politechnica de Madrid,Ce 001 Reinforced and Prestressed Con,CEE 3424 Reinforced Concrete Struc,Civil Engineering,Virginia Tech,99-00
Spain,Universidad Politechnica de Madrid,Ce 001 Reinforced and Prestressed Con,CEE 4424 Design of Prestressed Con,Civil Engineering,Virginia Tech,99-00
Spain,Universidad Politechnica de Madrid,Ce 002 Ports and Coasts,CEE 3314 Water Resources Engr,Civil Engineering,Virginia Tech,99-00
Spain,Universidad Politechnica de Madrid,Ce 002 Ports and Coasts,CEE 4XXX CE Elective,Civil Engineering,Virginia Tech,99-00
Spain,Universidad Politechnica de Madrid,CE 003 Transportation,CEE 3604 Intro to Transportation,Civil Engineering,Virginia Tech,99-00
Spain,Universidad Politechnica de Madrid,Span 001 Intensive Spanish,Span 2744 Intro to Spanish Cul and Civ,Spanish,Virginia Tech,99-00
United Kingdom,"University of Wales, Swansea",CI-112 Construction Materials & Techniques,CEE 3684 Civil Engineering Materials,Civil Engineering,Virginia Tech,Fall 2000
United Kingdom,"University of Wales, Swansea",CI-208 Statistics ,STAT 4604 Statistical Methods for Engin,Civil Engineering,Virginia Tech,Fall 2000
Hungary,Technical University of Budapest,ELME.105-ME.B5 Electronics Mechatronics,ECE 3254 Industrial Electronics,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,Flma 103 Fluid Machinery,ME 4414 Fluid Machinery Design,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,FLME.106-ME.B5 Fluid Mechanics,ME 3404 Fluid Mechanics,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,Hebo 103 Heat Engines and Biolers,ME 2XXX ME Elective,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,IHLA.104.NSBX Hungarian Language,VT 1XXXX Free Elective, Elective,Virginia Tech,00-01
Hungary,Technical University of Budapest,IHLA.104.NSBX Hungarian Language,VT 1XXXX Free Elective, Elective,Virginia Tech,00-01
Hungary,Technical University of Budapest,Made 104 Machine Design I,ME 3614 Mechanical Design I,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,Mech 404 Mechanics IV,ME 3504 Dynamic Systems Vibrations,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,Mech 503 Mechanics V,ME 2XXX ME Elective,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,Ptst 102 Probablility Theory & Statistics,STAT 3704 Statistics for Engr Applic,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,Ther 204 Thermodynamics II,ME 3304 Heat and Mass Transfer,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,THER.104-ME.B5 Thermodynamics I,ME 3124 Thermodynamics,Mechanical Engineering,Virginia Tech,00-01
Hungary,Technical University of Budapest,Tren 104 Transport Engineering,ME 2XXX ME Elective,Mechanical Engineering,Virginia Tech,00-01
Germany,Technische Universität München,Fac 01 Facility Planning,ISE 3214 Facility Planning and Mat Hndl,Industrial & Systems,Virginia Tech,00-01
